2026-09-21 14:33:27 | src.preprocessing | INFO | DS-1 MODE B: Using dataset-provided preprocessed EEG. No additional preprocessing applied.
2026-09-21 14:33:27 | src.data_loader | INFO | Loaded TDC_003 (music): shape=(14, 15360), duration=120.0s (expected 120s)
2026-09-21 14:33:27 | src.preprocessing | INFO | DS-1 MODE B: Using dataset-provided preprocessed EEG. No additional preprocessing applied.
2026-09-21 14:33:27 | src.data_loader | INFO | Loaded TDC_004 (music): shape=(14, 15360), duration=120.0s (expected 120s)
2026-09-21 14:33:27 | src.preprocessing | INFO | DS-1 MODE B: Using dataset-provided preprocessed EEG. No additional preprocessing applied.
2026-09-21 14:33:27 | src.data_loader | INFO | Loaded TDC_005 (music): shape=(14, 15360), duration=120.0s (expected 120s)
2026-09-21 14:33:27 | src.preprocessing | INFO | DS-1 MODE B: Using dataset-provided preprocessed EEG. No additional preprocessing applied.
2026-09-21 14:33:27 | src.data_loader | INFO | Loaded TDC_006 (music): shape=(14, 15360), duration=120.0s (expected 120s)
2026-09-21 14:33:27 | src.preprocessing | INFO | DS-1 MODE B: Using dataset-provided preprocessed EEG. No additional preprocessing applied.
2026-09-21 14:33:27 | src.data_loader | INFO | Loaded TDC_007 (music): shape=(14, 15360), duration=120.0s (expected 120s)
2026-09-21 14:33:27 | src.preprocessing | INFO | DS-1 MODE B: Using dataset-provided preprocessed EEG. No additional preprocessing applied.
2026-09-21 14:36:16 | Stage1 | INFO | raw DS-1 features in 171s
2026-09-21 14:36:16 | src.data_loader | WARNING | Cannot determine label for ZIP: Channel_Labels.zip. Expected 'ADHD' or 'Control' in filename. Skipping.
2026-09-21 14:36:16 | src.data_loader | WARNING | Cannot determine label for ZIP: Standard-10-20-Cap19new.zip. Expected 'ADHD' or 'Control' in filename. Skipping.
2026-09-21 14:36:16 | src.data_loader | INFO | DS-2 discovered: 61 ADHD (expected 61), 60 NC (expected 60), total 121 (expected 121)
2026-09-21 14:36:16 | src.data_loader | INFO | DS-2 loaded v107 (NC): shape=(19, 19794), duration=154.6s
2026-09-21 14:36:16 | src.data_loader | INFO | DS-2 loaded v108 (NC): shape=(19, 19026), duration=148.6s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v109 (NC): shape=(19, 16044), duration=125.3s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v10p (ADHD): shape=(19, 14304), duration=111.8s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v110 (NC): shape=(19, 16549), duration=129.3s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v111 (NC): shape=(19, 15310), duration=119.6s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v112 (NC): shape=(19, 15943), duration=124.6s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v113 (NC): shape=(19, 15574), duration=121.7s
